"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail"
"80","20101100325",0,0,0,53.4909761803113,0,0,0,0,0,0
"81","20101100326",0,0,0,15.3889443682155,0,0,0,0,0,0
"82","20101100327",0,0,0,31.5045531290393,0,0,0,0,0,0
"83","20101100328",0,0,0,60.9811446621242,0,0,0,0,0,0
"84","20101100329",0,0,0,61.8003608600673,0,0,0,0,0,0
"85","20101100330",0,0,39.9999999999976,491.069258026102,0,0,0,0,0,0
"86","20101100331",0,0,10.7308158394804,243.886033422108,0,0,0,0,0,0
"87","20101100332",0,0,15.4086226082981,286.023407412899,0,0,0,0,0,0
"88","20101100333",0,0,0,34.7331032419154,0,0,0,0,0,0
"89","20101100334",0,0,0,214.767278733146,0,0,0,0,0,0
"90","20101100335",0,0,0,304.160920641692,0,0,0,0,0,0
"91","20101100336",0,0,0,62.5579570787297,0,0,0,0,0,0
"92","20101100337",0,0,0,0.65640607960402,0,0,0,0,0,0
"93","20101100338",0,0,0,67.9225836445501,0,0,0,0,0,0
"94","20101100339",0,0,0,166.54003375968,0,0,0,0,0,0
"95","20101100340",0,0,0,57.8193409503561,0,0,0,0,0,0
"96","20101100341",0,0,0,107.049298131291,0,0,0,0,0,0
"97","20101100342",0,0,0,0.0155919413728392,0,0,0,0,0,0
"98","20101100343",0,0,0,66.5994062088243,0,0,0,0,0,0
"99","20101100344",0,0,0,34.0355353915837,0,0,0,0,0,0
"100","20101100345",0,0,0,39.5586824592167,0,0,0,0,0,0
"101","20101100346",0,0,0,33.6671419975362,0,0,0,0,0,0
"102","20101100347",0,0,0,0,0,0,0,0,0,0
"103","20101100348",0,0,0,146.22985402907,0,0,0,0,0,0
"104","20101100349",0,0,0,186.605994406777,0,0,0,0,0,0
"105","20101100350",0,0,0,119.462486353238,0,0,0,0,0,0
"106","20101100351",0,0,0,113.256138619028,0,0,0,0,0,0
"107","20101100401",0,0,0,52.1009388538949,0,0,0,0,0,0
"108","20101100402",0,0,0,80.2214659427045,0,0,0,0,0,0
"109","20101100404",0,0,0,200.370736345048,0,0,0,0,0,0
"110","20101100405",0,0,0,47.2516832604254,0,0,0,0,0,0
"111","20101100406",0,0,0,57.538427085407,0,0,0,0,0,0
"112","20101100407",0,0,0,209.812579794689,0,0,0,0,0,0
"113","20101100408",0,0,0,275.685165310922,0,0,0,0,0,0
"114","20101100409",0,0,0,331.512585157335,0,0,0,0,0,0
"115","20101100410",0,0,0.550374752606097,266.531409005254,0,0,0,0,0,0
"116","20101100411",0,0,0,82.9342074597133,0,0,0,0,0,0
"117","20101100412",0,0,0,102.915162228296,0,0,0,0,0,0
"118","20101100413",0,0,0,0,0,0,0,0,0,0
"119","20101100414",0,0,0,19.0885204223773,0,0,0,0,0,0
"120","20101100415",0,0,0,48.586540550406,0,0,0,0,0,0
"121","20101100416",0,0,0,32.9435166440952,0,0,0,0,0,0
"122","20101100417",0,0,0,81.2203994205255,0,0,0,0,0,0
"123","20101100418",0,0,0,79.4927486080824,0,0,0,0,0,0
"124","20101100419",0,0,0,44.4506752454454,0,0,0,0,0,0
"125","20101100420",0,0,0,124.562429005272,0,0,0,0,0,0
"126","20101100421",0,0,0,153.069226988173,0,0,0,0,0,0
"127","20101100422",0,0,0,67.6353266102387,0,0,0,0,0,0
"128","20101100423",0,0,0,129.436080433082,0,0,0,0,0,0
"129","20101100424",0,0,0,115.080623485423,0,0,0,0,0,0
"130","20101100425",0,0,0,96.4840603395844,0,0,0,0,0,0
"131","20101100426",0,0,0,276.612163754774,0,0,0,0,0,0
"132","20101100427",0,0,0,84.4403658764069,0,0,0,0,0,0
"133","20101100428",0,0,0,181.213964087306,0,0,0,0,0,0
"134","20101100429",0,0,0,95.5608986163071,0,0,0,0,0,0
"135","20101100430",0,0,0,139.090314331313,0,0,0,0,0,0
"136","20101100431",0,0,0,81.012103365664,0,0,0,0,0,0
"137","20101100432",0,0,0,56.5973264190345,0,0,0,0,0,0
"138","20101100433",0,0,0,93.2299491696036,0,0,0,0,0,0
"139","20101100434",0,0,0,71.3440431435037,0,0,0,0,0,0
"140","20101100435",0,0,0,63.2777995749137,0,0,0,0,0,0
"141","20101100436",0,0,0,7.7510695215122,0,0,0,0,0,0
"142","20101100437",0,0,0,74.7136428432827,0,0,0,0,0,0
"143","20101100438",0,0,0,85.2321500834071,0,0,0,0,0,0
"144","20101100439",0,0,0,39.1068156767478,0,0,0,0,0,0
"145","20101100440",0,0,0,114.111335351003,0,0,0,0,0,0
"146","20101100441",0,0,0,51.7424263405161,0,0,0,0,0,0
"147","20101100442",0,0,0,95.9172274035156,0,0,0,0,0,0
"148","20101100443",0,0,0,3.92826521596175,0,0,0,0,0,0
"149","20101100444",0,0,0,84.3308368330072,0,0,0,0,0,0
"150","20101100445",0,0,0,193.061183376392,0,0,0,0,0,0
"151","20101100446",0,0,0,197.754234494154,0,0,0,0,0,0
"152","20101100447",0,0,0,127.074809368742,0,0,0,0,0,0
"153","20101100448",0,0,0,111.62723587271,0,0,0,0,0,0
"154","20101100449",0,0,0,197.859158301827,0,0,0,0,0,0
"155","20101100451",0,0,0,1.16053606140451,0,0,0,0,0,0
"156","20101100452",0,0,0,25.3670922108779,0,0,0,0,0,0
"157","20101100453",0,0,0,4.87940483644832,0,0,0,0,0,0
"158","20101100454",0,0,0,12.9066535920095,0,0,0,0,0,0
"159","20101100455",0,0,0,11.2284172768633,0,0,0,0,0,0
"160","20101100456",0,0,0,2.22584203993102,0,0,0,0,0,0
"161","20101100501",0,0,0,53.2172604221865,0,0,0,0,0,0
"162","20101100502",0,0,0,67.3357239656305,0,0,0,0,0,0
"163","20101100504",0,0,0,138.994741187569,0,0,0,0,0,0
"164","20101100505",0,0,0,59.6399653360098,0,0,0,0,0,0
"165","20101100506",0,0,0,0,0,0,0,0,0,0
"166","20101100507",0,0,0,110.41778878376,0,0,0,0,0,0
"167","20101100508",0,0,0,36.9989232226069,0,0,0,0,0,0
"168","20101100509",0,0,0,50.277033819726,0,0,0,0,0,0
"169","20101100510",0,0,0,1.15219157308806,0,0,0,0,0,0
"170","20101100511",0,0,0,3.02157201602171,0,0,0,0,0,0
"171","20101100512",0,0,0,0.0210710753783082,0,0,0,0,0,0
"172","20101100513",0,0,0,1.64159163193504,0,0,0,0,0,0
"173","20101100514",0,0,0,0,0,0,0,0,0,0
"174","20101100515",0,0,0,52.1363146204106,0,0,0,0,0,0
"175","20101100516",0,0,0,40.1240028572747,0,0,0,0,0,0
"176","20101100517",0,0,0,75.6769903992758,0,0,0,0,0,0
"177","20101100518",0,0,0,0,0,0,0,0,0,0
"178","20101100519",0,0,0,247.886387895581,0,0,0,0,0,0
"179","20101100601",0,0,0,133.066511655253,0,0,0,0,0,0
"180","20101100602",0,0,0,81.89122271076,0,0,0,0,0,0
