"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail","Total"
"5629","20804119549",5.24572569169145,0,163.468069057611,134.948414090858,0,0,0,0,0,0,303.66220884016
"5630","20804119550",0,0,10.7822378798246,7325.91422332694,0,0,0,0,0,0,7336.69646120676
"5631","20804119551",0,0,0,505.786094355844,0,0,0,0,0,0,505.786094355844
"5632","20901119601",0,0,0,823.341266265794,0,0,0,0,0,0,823.341266265794
"5633","20901119602",0,0,0,310.88627270427,0,0,0,0,0,0,310.88627270427
"5634","20901119603",0,0,0,531.725504911146,0,0,0,0,0,0,531.725504911146
"5635","20901119604",825.470798526786,0,0,714.879707546808,0,0,0,0,0,0,1540.35050607359
"5636","20901119605",0,0,0,722.28019587048,0,0,0,0,0,0,722.28019587048
"5637","20901119606",0,0,0,741.347632618593,0,0,0,0,0,0,741.347632618593
"5638","20901119607",728.741545909253,0,0,269.482260991971,0,0,0,0,0,0,998.223806901224
"5639","20901119608",0,0,0,123.852655459383,0,0,0,0,0,0,123.852655459383
"5640","20901119609",0,0,0,117.631118926478,0,0,0,0,0,0,117.631118926478
"5641","20901119610",0,0,0,42.1647579566553,0,0,0,0,0,0,42.1647579566553
"5642","20901119612",0,0,0,0,0,0,0,0,0,0,0
"5643","20901119613",409.147792972866,0,0,222.475355605674,0,0,0,0,0,0,631.62314857854
"5644","20901119614",3.25118396237981,0,0,2.19154358844333,0,0,0,0,0,0,5.44272755082314
"5645","20901119615",725.485086637565,0,0,517.291883297126,0,0,0,0,0,0,1242.77696993469
"5646","20901119616",518.629016878587,0,0,556.318375858746,0,0,0,0,0,0,1074.94739273733
"5647","20901119617",221.474919695178,0,0,450.374258509261,0,0,0,0,0,0,671.849178204439
"5648","20901119618",689.524586584516,0,0,712.459830028017,0,0,0,0,0,0,1401.98441661253
"5649","20901119619",0,0,0,469.938285433015,0,0,0,0,0,0,469.938285433015
"5650","20901119620",0,0,0,503.98679190123,0,0,0,0,0,0,503.98679190123
"5651","20901119621",0,0,0,17.4737433450624,0,0,0,0,0,0,17.4737433450624
"5652","20901119622",0,0,0,513.706400121319,0,0,0,0,0,0,513.706400121319
"5653","20901119623",0,0,0,0.0542119978203938,0,0,0,0,0,0,0.0542119978203938
"5654","20901119624",191.487208987594,0,0,144.936519338856,0,0,0,0,0,0,336.42372832645
"5655","20901119701",0,0,72.8829579442622,865.205646093188,0,0,0,0,0,0,938.08860403745
"5656","20901119702",0,0,0,626.9624010502,0,0,0,0,0,0,626.9624010502
"5657","20901119703",0,0,0,71.3648532222455,0,0,0,0,0,0,71.3648532222455
"5658","20901119704",0,0,0,387.264456477588,0,0,0,0,0,0,387.264456477588
"5659","20901119705",0,0,65.5768821121859,480.373255665965,0,0,0,0,0,0,545.950137778151
"5660","20901119706",0,0,0,217.296457491128,0,0,0,0,0,0,217.296457491128
"5661","20901119707",0,0,0,377.077214274827,0,0,0,0,0,0,377.077214274827
"5662","20901119708",0,0,0,178.289138785555,0,0,0,0,0,0,178.289138785555
"5663","20901119709",0,0,0,215.122962582994,0,0,0,0,0,0,215.122962582994
"5664","20901119710",0,0,131.999999999971,670.629293137671,0,0,0,0,0,0,802.629293137642
"5665","20901119711",0,0,132.000000000013,1721.52312085034,0,0,0,0,0,0,1853.52312085035
"5666","20901119712",0,0,0,484.568778501102,0,0,0,0,0,0,484.568778501102
