"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail"
"1","20101100101",0,0,0,163.018871494294,0,0,0,0,0,0
"2","20101100102",0,0,0,187.02915012096,0,0,0,0,0,0
"3","20101100105",0,0,0,57.5823843573443,0,0,0,0,0,0
"4","20101100106",0,0,0,140.829205814592,0,0,0,0,0,0
"5","20101100107",0,0,0,326.164328516432,0,0,0,0,0,0
"6","20101100108",0,0,0,100.618983300617,0,0,0,0,0,0
"7","20101100109",0,0,0,228.812923320177,0,0,0,0,0,0
"8","20101100110",0,0,0,76.9136682732154,0,0,0,0,0,0
"9","20101100111",0,0,0,71.5630863528112,0,0,0,0,0,0
"10","20101100112",0,0,0,103.254079809581,0,0,0,0,0,0
"11","20101100113",0,0,0,123.388194321106,0,0,0,0,0,0
"12","20101100114",0,0,0,128.119726260018,0,0,0,0,0,0
"13","20101100115",0,0,0,0.617929202469201,0,0,0,0,0,0
"14","20101100117",0,0,0.120572991019229,34.4225875221369,0,0,0,0,0,0
"15","20101100118",0,0,0,0.005461806092652,0,0,0,0,0,0
"16","20101100119",0,0,0,1.58660774836612,0,0,0,0,0,0
"17","20101100120",0,0,0,146.663639714058,0,0,0,0,0,0
"18","20101100121",0,0,0,0.115487999022217,0,0,0,0,0,0
"19","20101100122",0,0,0,0.695759430542447,0,0,0,0,0,0
"20","20101100123",0,0,0,9.05904567576815,0,0,0,0,0,0
"21","20101100124",0,0,0,83.2693632023559,0,0,0,0,0,0
"22","20101100201",0,0,9.6431398830942,0,0,0,0,0,0,0
"23","20101100202",0,0,1.1210860972201,67.6577561999038,0,0,0,0,0,0
"24","20101100203",0,0,33.7301444318891,45.0526364608782,0,0,0,0,0,0
"25","20101100204",0,0,34.9999999999988,116.950070228339,0,0,0,0,0,0
"26","20101100205",0,0,0,98.7557700101392,0,0,0,0,0,0
"27","20101100206",0,0,0,100.748672281686,0,0,0,0,0,0
"28","20101100207",0,0,0,201.639295331258,0,0,0,0,0,0
"29","20101100208",0,0,0,140.55321728801,0,0,0,0,0,0
"30","20101100209",0,0,3.16471176034085,33.8233993531082,0,0,0,0,0,0
"31","20101100210",0,0,0,38.9616110225801,0,0,0,0,0,0
"32","20101100211",0,0,0,75.1041824090546,0,0,0,0,0,0
"33","20101100212",0,0,0,443.613367567373,0,0,0,0,0,0
"34","20101100213",0,0,0,440.863049410416,0,0,0,0,0,0
"35","20101100214",0,0,0,207.457149108573,0,0,0,0,0,0
"36","20101100215",0,0,0,240.676415525664,0,0,0,0,0,0
"37","20101100216",0,0,0,149.665495153223,0,0,0,0,0,0
"38","20101100217",0,0,39.6827695760616,727.999345855924,0,0,0,0,0,0
"39","20101100218",0,0,3.0178876798627,581.826839234998,0,0,0,0,0,0
"40","20101100219",0,0,48.7664232012431,1012.98807847396,0,0,0,0,0,0
"41","20101100220",0,0,40.4541198036403,190.918778937238,0,0,0,0,0,0
"42","20101100221",0,0,30.2448206208258,442.174302442432,0,0,0,0,0,0
"43","20101100222",0,0,0,189.187599526416,0,0,0,0,0,0
"44","20101100223",0,0,0,271.419363960322,0,0,0,0,0,0
"45","20101100224",0,0,0,462.466182012934,0,0,0,0,0,0
"46","20101100225",0,0,19.7411417989469,210.987820162158,0,0,0,0,0,0
"47","20101100226",0,0,24.8968242112681,1022.23040762626,0,0,0,0,0,0
"48","20101100227",0,0,0,314.102324435548,0,0,0,0,0,0
"49","20101100228",0,0,0,339.399209714777,0,0,0,0,0,0
"50","20101100229",0,0,0,410.992709821562,0,0,0,0,0,0
"51","20101100230",0,0,0,133.452681463491,0,0,0,0,0,0
"52","20101100231",0,0,0,309.751645719437,0,0,0,0,0,0
"53","20101100232",0,0,0,317.732279147005,0,0,0,0,0,0
"54","20101100233",0,0,0,547.375892869299,0,0,0,0,0,0
"55","20101100234",0,0,31.1314145947868,742.075478329172,0,0,0,0,0,0
"56","20101100301",0,0,0,0.499831572996103,0,0,0,0,0,0
"57","20101100302",0,0,0,246.113215423537,0,0,0,0,0,0
"58","20101100303",0,0,54.2182220229098,701.976538542857,0,0,0,0,0,0
"59","20101100304",0,0,0,244.554527808579,0,0,0,0,0,0
"60","20101100305",0,0,0,300.8123758916,0,0,0,0,0,0
"61","20101100306",0,0,0,114.650915743259,0,0,0,0,0,0
"62","20101100307",0,0,3.61129898891031,281.494815167689,0,0,0,0,0,0
"63","20101100308",0,0,0,169.112454094785,0,0,0,0,0,0
"64","20101100309",0,0,0,10.4844183512758,0,0,0,0,0,0
"65","20101100310",0,0,0,164.392551993482,0,0,0,0,0,0
"66","20101100311",0,0,0,0,0,0,0,0,0,0
"67","20101100312",0,0,0,0.192807083717916,0,0,0,0,0,0
"68","20101100313",0,0,0,40.9741183813194,0,0,0,0,0,0
"69","20101100314",0,0,0,86.7839492601045,0,0,0,0,0,0
"70","20101100315",0,0,0,65.4632590635314,0,0,0,0,0,0
"71","20101100316",0,0,0,129.350697117476,0,0,0,0,0,0
"72","20101100317",0,0,0,109.86905461836,0,0,0,0,0,0
"73","20101100318",0,0,0,343.752457444016,0,0,0,0,0,0
"74","20101100319",0,0,0.403982404725203,129.667418466796,0,0,0,0,0,0
"75","20101100320",0,0,0,287.716074416624,0,0,0,0,0,0
"76","20101100321",0,0,0,223.755002116462,0,0,0,0,0,0
"77","20101100322",0,0,20.7516386992201,384.76604161618,0,0,0,0,0,0
"78","20101100323",0,0,0,164.876221401422,0,0,0,0,0,0
"79","20101100324",0,0,0,135.953640690177,0,0,0,0,0,0
"80","20101100325",0,0,0,42.2777876195193,0,0,0,0,0,0
"81","20101100326",0,0,0,25.6647093441718,0,0,0,0,0,0
"82","20101100327",0,0,0,35.1396938746977,0,0,0,0,0,0
"83","20101100328",0,0,0,106.924851292282,0,0,0,0,0,0
"84","20101100329",0,0,0,49.4008406963344,0,0,0,0,0,0
"85","20101100330",0,0,60.9999999999964,481.741102500471,0,0,0,0,0,0
"86","20101100331",0,0,16.3644941552076,153.142640493906,0,0,0,0,0,0
"87","20101100332",0,0,23.4981494776546,345.459311111619,0,0,0,0,0,0
"88","20101100333",0,0,0,51.4984037274842,0,0,0,0,0,0
"89","20101100334",0,0,0,214.165605202172,0,0,0,0,0,0
"90","20101100335",0,0,0,334.556461624524,0,0,0,0,0,0
"91","20101100336",0,0,0,64.9992099484196,0,0,0,0,0,0
"92","20101100337",0,0,0,0.660290296206035,0,0,0,0,0,0
"93","20101100338",0,0,0,112.599520715115,0,0,0,0,0,0
"94","20101100339",0,0,0,196.225283604805,0,0,0,0,0,0
"95","20101100340",0,0,0,65.922849102408,0,0,0,0,0,0
"96","20101100341",0,0,0,157.4437703928,0,0,0,0,0,0
"97","20101100342",0,0,0,24.7365387128817,0,0,0,0,0,0
"98","20101100343",0,0,0,123.987516772359,0,0,0,0,0,0
"99","20101100344",0,0,0,125.241131486404,0,0,0,0,0,0
"100","20101100345",0,0,0,39.6276300909684,0,0,0,0,0,0
"101","20101100346",0,0,0,107.153877832566,0,0,0,0,0,0
"102","20101100347",0,0,0,0,0,0,0,0,0,0
"103","20101100348",0,0,0,292.60951059184,0,0,0,0,0,0
"104","20101100349",0,0,0,142.28018435225,0,0,0,0,0,0
"105","20101100350",0,0,0,235.173697273529,0,0,0,0,0,0
"106","20101100351",0,0,0,91.2764487146425,0,0,0,0,0,0
"107","20101100401",0,0,0,8.35509374725351,0,0,0,0,0,0
"108","20101100402",0,0,0,111.03437908534,0,0,0,0,0,0
"109","20101100404",0,0,0,321.259857325146,0,0,0,0,0,0
"110","20101100405",0,0,0,27.9214491993423,0,0,0,0,0,0
"111","20101100406",0,0,0,105.573282642841,0,0,0,0,0,0
"112","20101100407",0,0,0,188.353863463665,0,0,0,0,0,0
"113","20101100408",0,0,0,411.868608981865,0,0,0,0,0,0
"114","20101100409",0,0,0,259.384126256729,0,0,0,0,0,0
"115","20101100410",0,0,0.839321497724298,376.763262386304,0,0,0,0,0,0
"116","20101100411",0,0,0,68.2617314736386,0,0,0,0,0,0
"117","20101100412",0,0,0,67.6358453873709,0,0,0,0,0,0
"118","20101100413",0,0,0,0,0,0,0,0,0,0
"119","20101100414",0,0,0,22.713320203617,0,0,0,0,0,0
"120","20101100415",0,0,0,44.388971578931,0,0,0,0,0,0
"121","20101100416",0,0,0,45.0650366648165,0,0,0,0,0,0
"122","20101100417",0,0,0,194.091504108501,0,0,0,0,0,0
"123","20101100418",0,0,0,169.703357457825,0,0,0,0,0,0
"124","20101100419",0,0,0,96.2062705299707,0,0,0,0,0,0
"125","20101100420",0,0,0,274.177167374097,0,0,0,0,0,0
"126","20101100421",0,0,0,183.540816140562,0,0,0,0,0,0
"127","20101100422",0,0,0,83.4343944573405,0,0,0,0,0,0
"128","20101100423",0,0,0,257.304981332781,0,0,0,0,0,0
"129","20101100424",0,0,0,181.525800117421,0,0,0,0,0,0
"130","20101100425",0,0,0,262.745124118956,0,0,0,0,0,0
"131","20101100426",0,0,0,201.225628335911,0,0,0,0,0,0
"132","20101100427",0,0,0,197.580426941373,0,0,0,0,0,0
"133","20101100428",0,0,0,180.585797720557,0,0,0,0,0,0
"134","20101100429",0,0,0,48.8329912653132,0,0,0,0,0,0
"135","20101100430",0,0,0,117.250698440157,0,0,0,0,0,0
"136","20101100431",0,0,0,142.829392320649,0,0,0,0,0,0
"137","20101100432",0,0,0,136.193237477759,0,0,0,0,0,0
