lga_code_2021,LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
20110,0,0,0,0.005985835539142825,0,0,0,0,0,0
20260,0,0,0.0023802331639546964,0.06985984336206963,0,0,0,0,0,0
20570,0,0,0.16838104117332783,12.238673288237806,0,0,0,0,0,0
20660,13.251506433505542,0,38.14391769666974,390.1001395755958,0,0,0,0,0,0
20740,0,0,0,0.8571930851920277,0,0,0,0,0,0
20830,0,0,0.07689435836040394,0.06366253695422965,0,0,0,0,0,0
20910,21.791736352714313,0,62.94240788083364,405.473169515252,0,0,0,0,0,0
21010,0,0,0.00854760406301334,0.16753303963504562,0,0,0,0,0,0
21110,369.9459530948783,0,88.2590633927671,248.3690566960594,0,0,0,0,0,0
21180,0.0012614593620434173,0,28.008918408120444,267.2743416443285,0,0,0,0,0,0
21270,0,0,0,0.002193268620366051,0,0,0,0,0,0
21370,0,0,0.001403852636785292,0.08110665272478378,0,0,0,0,0,0
21450,0,0,1.0146278501699975,2.849027232381436,0,0,0,0,0,0
21610,0,0,4.37229281355997,70.65735558984838,0,0,0,0,0,0
21670,0,0,0.003928439339924546,0.31329303735897773,0,0,0,0,0,0
21750,0,0,0.0070064973665333735,0.09493267547101349,0,0,0,0,0,0
21830,0,0,0.005460969812555037,0.0015927828619951045,0,0,0,0,0,0
21890,239.49129701970156,0,68.5386930690017,619.6457024883006,0,0,0,0,0,0
22110,0,0,2.8804944790161377e-4,0.02580456038441844,0,0,0,0,0,0
22170,0,0,7.467887474205718,118.52593211842087,0,0,0,0,0,0
22250,0,0,0.0021482012408474273,0.005387127495597683,0,0,0,0,0,0
22310,241.94534386372283,0,164.2702686292733,409.76917802776484,0,0,0,0,0,0
22410,0,0,0,0.037447526394553496,0,0,0,0,0,0
22490,0,0,0,0.019247861332288233,0,0,0,0,0,0
22620,0,0,0.05881552902221511,4.530220475741468,0,0,0,0,0,0
22670,0,0,24.800211521082282,178.82803270586535,0,0,0,0,0,0
22750,0,0,0.8930881611451204,26.686363883204905,0,0,0,0,0,0
22830,0,0,0.01410997430400942,1.354765032807049,0,0,0,0,0,0
22910,0,0,0.006233098376246555,0.2877742806679696,0,0,0,0,0,0
22980,0,0,0.001063383628379736,8.639991980585014e-4,0,0,0,0,0,0
23110,0,0,37.949104746816445,271.5086380380835,0,0,0,0,0,0
23190,0,0,9.383346570118052e-4,0.10586648907713253,0,0,0,0,0,0
23270,0,0,4.546448674845334,58.462046915734135,0,0,0,0,0,0
23350,0,0,0.0059144358606760625,0.025125046561652892,0,0,0,0,0,0
23430,0,0,40.720558519753546,264.2869564382524,0,0,0,0,0,0
23670,0,0,6.968357345404449,221.25499707706146,0,0,0,0,0,0
23810,0,0,0.1311954557087935,3.1493962889232567,0,0,0,0,0,0
23940,0,0,0.0023980813246503117,0.0029976016558125296,0,0,0,0,0,0
24130,0,0,0.2681869498486227,0.16461286138525086,0,0,0,0,0,0
24210,0,0,1.736490113103763e-5,331.8151830290993,0,0,0,0,0,0
24250,0,0,0,0.004054923878224819,0,0,0,0,0,0
24330,112.46726537300111,0,126.6625652319855,699.6471620165472,0,0,0,0,0,0
24410,0,0,21.338315185493816,297.0317465215199,0,0,0,0,0,0
24600,1753.2356325425874,0,637.9154461642516,608.5543709039484,0,0,0,0,0,0
24650,0,0,0.6237026893950932,22.405732227062362,0,0,0,0,0,0
24780,0,0,0,0.109049934409045,0,0,0,0,0,0
24850,0,0,0.1544852723220438,0.2684181606595402,0,0,0,0,0,0
24900,0,0,0,0.06108229098022366,0,0,0,0,0,0
24970,0.07210476779912803,0,41.72510042584569,526.0575924066235,0,0,0,0,0,0
25060,241.51947706951657,0,47.61320685029918,453.4155420869471,0,0,0,0,0,0
25150,0,0,0.08373659864187186,0.7630805153925431,0,0,0,0,0,0
25250,281.9409545977222,0,59.12156039621028,404.3027268343753,0,0,0,0,0,0
25340,0,0,0.34983566575070024,13.10314600351735,0,0,0,0,0,0
25430,0,0,0.051205160093649636,0.16380344771863806,0,0,0,0,0,0
25490,0,0,0,0.028847439278279943,0,0,0,0,0,0
25620,0,0,0,0.03451239016141149,0,0,0,0,0,0
25710,0.026589775376570826,0,1.1201874776977216,19.763271715201533,0,0,0,0,0,0
25810,0,0,6.99744130937061e-4,0.030824563141311125,0,0,0,0,0,0
25900,983.1337666699123,0,37.12795764460709,447.70578330386377,0,0,0,0,0,0
25990,0,0,0.0035047854536235214,0.007513174267052732,0,0,0,0,0,0
26080,0,0,0,30.817334352198515,0,0,0,0,0,0
26170,0,0,0,0.04011015125029905,0,0,0,0,0,0
26260,0,0,0,0.0445232788096156,0,0,0,0,0,0
26350,626.7229668407814,0,234.85499762105422,405.867379624436,0,0,0,0,0,0
26430,0,0,0.015215354241655248,0.0022823031362481437,0,0,0,0,0,0
26490,0,0,0.007758106417945327,0.7261319209595961,0,0,0,0,0,0
26610,0,0,4.7376711324121436e-4,0.05082181792507917,0,0,0,0,0,0
26670,0,0,0,7.819987881495769e-4,0,0,0,0,0,0
26700,0,0,0.008827117154132206,0.32825764434051985,0,0,0,0,0,0
26730,0,0,0.1491542344189511,19.026452066802772,0,0,0,0,0,0
26810,0,0,0.0033473596906070076,0.029289397292808782,0,0,0,0,0,0
26890,0,0,0,8.775683096150957e-4,0,0,0,0,0,0
26980,75.53607464374822,0,46.34660793786681,579.1489787576159,0,0,0,0,0,0
27070,1.637000255715341,0,2.428211691158469,72.09165619205699,0,0,0,0,0,0
27170,0,0,0.027867546904207632,1.7294708322367178,0,0,0,0,0,0
