lga_code_2021,lga_name_2021,greater_melbourne
30250,Aurukun,FALSE
30300,Balonne,FALSE
30370,Banana,FALSE
30410,Barcaldine,FALSE
30450,Barcoo,FALSE
30760,Blackall Tambo,FALSE
30900,Boulia,FALSE
31000,Brisbane,FALSE
31750,Bulloo,FALSE
31820,Bundaberg,FALSE
31900,Burdekin,FALSE
31950,Burke,FALSE
32080,Cairns,FALSE
32250,Carpentaria,FALSE
32260,Cassowary Coast,FALSE
32270,Central Highlands (Qld),FALSE
32310,Charters Towers,FALSE
32330,Cherbourg,FALSE
32450,Cloncurry,FALSE
32500,Cook,FALSE
32600,Croydon,FALSE
32750,Diamantina,FALSE
32770,Doomadgee,FALSE
32810,Douglas,FALSE
33100,Etheridge,FALSE
33200,Flinders (Qld),FALSE
33220,Fraser Coast,FALSE
33360,Gladstone,FALSE
33430,Gold Coast,FALSE
33610,Goondiwindi,FALSE
33620,Gympie,FALSE
33800,Hinchinbrook,FALSE
33830,Hope Vale,FALSE
33960,Ipswich,FALSE
33980,Isaac,FALSE
34420,Kowanyama,FALSE
34530,Livingstone,FALSE
34570,Lockhart River,FALSE
34580,Lockyer Valley,FALSE
34590,Logan,FALSE
34710,Longreach,FALSE
34770,Mackay,FALSE
34800,McKinlay,FALSE
34830,Mapoon,FALSE
34860,Maranoa,FALSE
34880,Mareeba,FALSE
35010,Moreton Bay,FALSE
35250,Mornington,FALSE
35300,Mount Isa,FALSE
35600,Murweh,FALSE
35670,Napranum,FALSE
35740,Noosa,FALSE
35760,North Burnett,FALSE
35780,Northern Peninsula Area,FALSE
35790,Palm Island,FALSE
35800,Paroo,FALSE
36070,Pormpuraaw,FALSE
36150,Quilpie,FALSE
36250,Redland,FALSE
36300,Richmond,FALSE
36370,Rockhampton,FALSE
36510,Scenic Rim,FALSE
36580,Somerset,FALSE
36630,South Burnett,FALSE
36660,Southern Downs,FALSE
36720,Sunshine Coast,FALSE
36820,Tablelands,FALSE
36910,Toowoomba,FALSE
36950,Torres,FALSE
36960,Torres Strait Island,FALSE
37010,Townsville,FALSE
37300,Weipa,FALSE
37310,Western Downs,FALSE
37340,Whitsunday,FALSE
37400,Winton,FALSE
37550,Woorabinda,FALSE
37570,Wujal Wujal,FALSE
37600,Yarrabah,FALSE
39499,No usual address (Qld),FALSE
39799,Migratory - Offshore - Shipping (Qld),FALSE
40070,Adelaide,FALSE
40120,Adelaide Hills,FALSE
40150,Adelaide Plains,FALSE
40220,Alexandrina,FALSE
40250,Anangu Pitjantjatjara Yunkunytjatjara,FALSE
40310,Barossa,FALSE
40430,Barunga West,FALSE
40520,Berri Barmera,FALSE
40700,Burnside,FALSE
40910,Campbelltown (SA),FALSE
41010,Ceduna,FALSE
41060,Charles Sturt,FALSE
41140,Clare and Gilbert Valleys,FALSE
41190,Cleve,FALSE
41330,Coober Pedy,FALSE
41560,Copper Coast,FALSE
41750,Elliston,FALSE
41830,Flinders Ranges,FALSE
41960,Franklin Harbour,FALSE
42030,Gawler,FALSE
42110,Goyder,FALSE
42250,Grant,FALSE
42600,Holdfast Bay,FALSE
42750,Kangaroo Island,FALSE
43080,Karoonda East Murray,FALSE
43220,Kimba,FALSE
43360,Kingston (SA),FALSE
43650,Light,FALSE
43710,Lower Eyre Peninsula,FALSE
43790,Loxton Waikerie,FALSE
44000,Maralinga Tjarutja,FALSE
44060,Marion,FALSE
44210,Mid Murray,FALSE
44340,Mitcham,FALSE
44550,Mount Barker,FALSE
44620,Mount Gambier,FALSE
44830,Mount Remarkable,FALSE
45040,Murray Bridge,FALSE
45090,Naracoorte Lucindale,FALSE
45120,Northern Areas,FALSE
45290,Norwood Payneham and St Peters,FALSE
45340,Onkaparinga,FALSE
