sa1_code_2021,sa2_name_2021,SI_CCD
20101100825,Wendouree - Miners Rest,769.717225179031
20101100826,Wendouree - Miners Rest,2432.7945090971534
20101100827,Wendouree - Miners Rest,870.807250268098
20101100828,Wendouree - Miners Rest,1497.352109857599
20101100829,Wendouree - Miners Rest,1457.3424882255745
20101100830,Wendouree - Miners Rest,1073.5595943376622
20101100831,Wendouree - Miners Rest,436.6558354076849
20101100832,Wendouree - Miners Rest,2215.403956857117
20101100833,Wendouree - Miners Rest,1435.14932330868
20101100834,Wendouree - Miners Rest,1638.1151738888466
20101100835,Wendouree - Miners Rest,255.2294843775589
20101100836,Wendouree - Miners Rest,279.9783573378651
20101100837,Wendouree - Miners Rest,65.94586090618034
20101100838,Wendouree - Miners Rest,6.8230251994259286
20101100839,Wendouree - Miners Rest,0
20101100840,Wendouree - Miners Rest,40.219633569112695
20101100841,Wendouree - Miners Rest,149.02516163024666
20101100842,Wendouree - Miners Rest,0.2380609136110041
20101100843,Wendouree - Miners Rest,73.00546060394619
20101100844,Wendouree - Miners Rest,259.4500594523506
20101100845,Wendouree - Miners Rest,16.57889645581444
20101148101,Ballarat East - Warrenheip,836.1134669960575
20101148102,Ballarat East - Warrenheip,843.1256888478332
20101148103,Ballarat East - Warrenheip,1725.9266305690971
20101148104,Ballarat East - Warrenheip,1037.0973960338074
20101148105,Ballarat East - Warrenheip,301.0016638957478
20101148106,Ballarat East - Warrenheip,739.0900195796625
20101148107,Ballarat East - Warrenheip,1092.8431496057483
20101148108,Ballarat East - Warrenheip,1629.172740386409
20101148109,Ballarat East - Warrenheip,1498.891843012554
20101148110,Ballarat East - Warrenheip,584.7561151600767
20101148111,Ballarat East - Warrenheip,694.214534731195
20101148112,Ballarat East - Warrenheip,109.66360144570734
20101148113,Ballarat East - Warrenheip,963.1873576431578
20101148114,Ballarat East - Warrenheip,1370.855169843059
20101148115,Ballarat East - Warrenheip,655.6673557629399
20101148116,Ballarat East - Warrenheip,7079.615426490299
20101148117,Ballarat East - Warrenheip,1500.6740388556088
20101148118,Ballarat East - Warrenheip,2.429385779448219
20101148119,Ballarat East - Warrenheip,506.5662396173575
20101148120,Ballarat East - Warrenheip,344.43728026356206
20101148121,Ballarat East - Warrenheip,1461.3572497828452
20101148122,Ballarat East - Warrenheip,2116.9977932910456
20101148201,Ballarat North - Invermay,1448.9352517772998
20101148202,Ballarat North - Invermay,209.9819959875752
20101148203,Ballarat North - Invermay,0
20101148204,Ballarat North - Invermay,0
20101148205,Ballarat North - Invermay,640.947295880407
20101148206,Ballarat North - Invermay,803.0262510638622
20101148207,Ballarat North - Invermay,1046.5208171878328
20101148208,Ballarat North - Invermay,429.7585469336301
20101148209,Ballarat North - Invermay,157.8816841525153
20101148210,Ballarat North - Invermay,2660.8686896438007
20101148211,Ballarat North - Invermay,5233.615612737948
20101148212,Ballarat North - Invermay,437.3089004131078
20101148213,Ballarat North - Invermay,739.8438368952571
20101148214,Ballarat North - Invermay,1778.1900395411078
20101148215,Ballarat North - Invermay,2128.052645046408
