sa1_code_2016;Total
20101100706;2,22507005433172e-01
20101100707;1,23793065877473e-02
20101100708;0,00000000000000e+00
20101100709;0,00000000000000e+00
20101100801;2,26960885046302e+02
20101100804;2,10442684848302e+02
20101100805;6,05260327032783e+02
20101100806;1,71762637894996e+02
20101100807;4,64497235658347e+02
20101100808;1,26732522811590e+02
20101100809;4,07085827477921e+02
20101100810;1,01255076969969e+02
20101100811;1,71362326958021e+02
20101100812;1,98445036268990e+02
20101100813;2,84138682558613e+02
20101100814;1,39381226532336e+02
20101100815;5,70728233180538e+02
20101100816;1,67352476873830e+01
20101100818;4,16297959735523e+01
20101100820;1,33268140369032e+02
20101100821;1,93744839403274e+02
20101100822;4,57913616503091e+02
20101100823;4,61042723552703e+01
20101100824;4,82016096730713e+02
20101100825;1,23864827549572e+02
20101100826;4,24682882957626e+02
20101100827;1,42585130477421e+02
20101100828;2,41719488685544e+02
20101100829;2,44864670571665e+02
20101100830;1,86206113244801e+02
20101100831;7,26286710856465e+01
20101100832;3,91657282472335e+02
20101100833;2,65804392860597e+02
20101100834;2,90754920189166e+02
20101100835;4,48171111185363e+01
20101100836;4,99114561358024e+01
20101100837;1,11992524989241e+01
20101100838;1,16505631929264e+00
20101100839;0,00000000000000e+00
20101100840;6,86988745151888e+00
20101100841;2,57195636200561e+01
20101100842;3,99207040896609e-02
20101100843;1,22752831180773e+01
20101100844;4,55259378914331e+01
20101100845;2,84413845684714e+00
20102100901;3,62747802392494e+00
20102100902;0,00000000000000e+00
20102100903;0,00000000000000e+00
20102100904;0,00000000000000e+00
20102100905;0,00000000000000e+00
20102100906;4,92403901115523e-01
20102100907;0,00000000000000e+00
20102100908;0,00000000000000e+00
20102100909;0,00000000000000e+00
20102100910;0,00000000000000e+00
20102100911;0,00000000000000e+00
20102100912;1,52744271808577e-01
20102100913;9,54876955609428e+00
20102100914;6,94781032403905e+01
20102100915;2,81576074683030e+01
20102100916;6,11586919882626e+01
20102100917;7,88716239632595e-02
20102101001;1,58299797725847e+00
20102101002;8,02395635628405e+00
20102101003;1,55219516012637e+02
20102101004;2,45398637995878e+01
20102101005;1,49472686974674e+02
20102101006;1,92804603999620e+01
20102101007;1,26299680626531e+00
20102101008;1,07528540413875e-01
20102101009;5,40727319780090e-02
20102101010;4,17766816910332e-01
20102101011;8,52971236843161e-03
20102101012;5,78989107032024e+00
20102101013;8,85584903774244e-01
20102101014;1,77914401843293e-02
20102101015;4,27546053747734e-02
20102101016;1,62352053492431e-02
20102101017;7,78280326372964e-01
20102101018;0,00000000000000e+00
20102101021;8,73158447759573e+01
20102101022;0,00000000000000e+00
20102101023;1,49255710590153e+01
20102101024;4,86143573993471e-01
20102101025;7,24923771243991e+00
20102101101;2,23023704606192e-02
20102101102;1,15846772393158e-01
20102101103;5,89413677007146e-02
20102101104;7,00258613912354e-02
20102101105;1,89156278167823e-01
20102101106;3,14506200890171e+00
20102101107;0,00000000000000e+00
20102101108;1,60516398113975e+01
20102101109;1,62081896644733e+00
20102101110;0,00000000000000e+00
20102101111;0,00000000000000e+00
20102101112;4,47817258234179e-01
20102101113;5,33449602251018e+00
20102101114;2,30385111776462e+00
20102101115;0,00000000000000e+00
20102101116;5,45795006148958e+00
20102101117;3,30794452018020e-04
20102101118;9,88793349884386e-01
20102101119;0,00000000000000e+00
20102101120;2,92073962162278e-02
20102101121;5,23853846010548e-02
20102101122;0,00000000000000e+00
20102101123;3,57970162100413e-01
20102101124;0,00000000000000e+00
20102101125;0,00000000000000e+00
20102101201;1,73460495597917e-02
20102101202;0,00000000000000e+00
20102101203;0,00000000000000e+00
20102101204;1,39012065397398e-02
20102101205;7,14480300905479e-02
20102101206;9,02888217793917e-02
20102101207;8,87804293572059e-02
20102101208;5,15464154241485e-03
20102101209;0,00000000000000e+00
20102101210;0,00000000000000e+00
20102101211;0,00000000000000e+00
20102101212;2,30573764366058e-01
20102101213;1,11714986344132e-02
20102101214;2,18156716774422e+00
20102101215;5,60063403303142e-01
20102101216;1,50047974599624e-02
20102101217;7,94636943242963e-02
20103101301;1,81873217160176e+00
20103101302;3,09243145758366e-01
20103101303;2,38899758183812e-03
20103101304;1,95937083299415e-03
20103101305;0,00000000000000e+00
20103101306;5,08389407237694e-01
20103101307;0,00000000000000e+00
20103101308;9,92353486082321e-03
20103101309;1,41922402758680e-02
20103101310;8,90355735307708e-03
20103101401;5,98446421974651e+00
20103101402;1,26070031331553e+01
20103101403;1,26314932209253e-02
20103101404;0,00000000000000e+00
20103101405;0,00000000000000e+00
20103101406;1,47656572971815e-02
20103101407;0,00000000000000e+00
20103101408;0,00000000000000e+00
20103101409;1,01686835023707e-02
20103101410;0,00000000000000e+00
20103101411;0,00000000000000e+00
20103101412;6,91384293278150e+00
20103101413;3,97562347311888e-02
20103101501;2,17642124981980e-02
20103101502;9,84050950594909e-03
20103101503;2,90955920338996e-03
20103101504;3,02972174282994e-03
20103101505;0,00000000000000e+00
20103101506;2,37064970154785e+00
20103101507;1,00350513524485e+00
20103101508;1,90439917421777e-01
20103101509;2,60822431824345e-01
20103101510;0,00000000000000e+00
20103101511;0,00000000000000e+00
20103101512;1,85080738444080e-02
20103101601;2,42731107540857e+01
20103101602;6,03263815138615e+01
20103101603;9,92802945992249e+01
20103101604;4,47289169830729e+01
20103101605;3,42074876740804e+01
20103101606;4,55076841113980e+01
20103101607;1,99102403743515e+01
20103101608;1,10912986344052e+01
20103101609;4,39809290381284e+01
20103101610;9,35660525968563e+01
20103101611;1,01182725641871e+00
20103101612;2,14257276157096e+01
20103101613;7,87521324762326e+01
20103101614;1,65568884627872e+01
20103101615;7,32219230922364e+01
20103101616;4,00159497323192e+01
20103101617;6,80868790257838e+01
20103101618;1,47342150396295e+02
20103101619;2,27346792145751e+01
20103101620;2,92430255840117e+01
20103101621;4,74877022863164e-01
20103101701;6,14465320059679e-01
20103101702;3,81680894525815e-01
20103101703;9,77464453381700e+00
20103101704;5,41701367715604e-03
20103101705;1,32100235629773e+00
20103101706;6,19691107652338e-01
