sa1_code_2016;LRT;subway;rail;bus;ferry;cable_tram;aerial_lift;funicular;trolleybus;monorail
20101100101;0,00000000000000e+00;0;0,00000000000000e+00;1,63018871494294e+02;0;0;0;0;0;0
20101100102;0,00000000000000e+00;0;0,00000000000000e+00;1,87029150120960e+02;0;0;0;0;0;0
20101100105;0,00000000000000e+00;0;0,00000000000000e+00;5,75823843573443e+01;0;0;0;0;0;0
20101100106;0,00000000000000e+00;0;0,00000000000000e+00;1,40829205814592e+02;0;0;0;0;0;0
20101100107;0,00000000000000e+00;0;0,00000000000000e+00;3,26164328516432e+02;0;0;0;0;0;0
20101100108;0,00000000000000e+00;0;0,00000000000000e+00;1,00618983300617e+02;0;0;0;0;0;0
20101100109;0,00000000000000e+00;0;0,00000000000000e+00;2,28812923320177e+02;0;0;0;0;0;0
20101100110;0,00000000000000e+00;0;0,00000000000000e+00;7,69136682732154e+01;0;0;0;0;0;0
20101100111;0,00000000000000e+00;0;0,00000000000000e+00;7,15630863528112e+01;0;0;0;0;0;0
20101100112;0,00000000000000e+00;0;0,00000000000000e+00;1,03254079809581e+02;0;0;0;0;0;0
20101100113;0,00000000000000e+00;0;0,00000000000000e+00;1,23388194321106e+02;0;0;0;0;0;0
20101100114;0,00000000000000e+00;0;0,00000000000000e+00;1,28119726260018e+02;0;0;0;0;0;0
20101100115;0,00000000000000e+00;0;0,00000000000000e+00;6,17929202469201e-01;0;0;0;0;0;0
20101100117;0,00000000000000e+00;0;1,20572991019229e-01;3,44225875221369e+01;0;0;0;0;0;0
20101100118;0,00000000000000e+00;0;0,00000000000000e+00;5,46180609265200e-03;0;0;0;0;0;0
20101100119;0,00000000000000e+00;0;0,00000000000000e+00;1,58660774836612e+00;0;0;0;0;0;0
20101100120;0,00000000000000e+00;0;0,00000000000000e+00;1,46663639714058e+02;0;0;0;0;0;0
20101100121;0,00000000000000e+00;0;0,00000000000000e+00;1,15487999022217e-01;0;0;0;0;0;0
20101100122;0,00000000000000e+00;0;0,00000000000000e+00;6,95759430542447e-01;0;0;0;0;0;0
20101100123;0,00000000000000e+00;0;0,00000000000000e+00;9,05904567576815e+00;0;0;0;0;0;0
20101100124;0,00000000000000e+00;0;0,00000000000000e+00;8,32693632023559e+01;0;0;0;0;0;0
20101100201;0,00000000000000e+00;0;9,64313988309420e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100202;0,00000000000000e+00;0;1,12108609722010e+00;6,76577561999038e+01;0;0;0;0;0;0
20101100203;0,00000000000000e+00;0;3,37301444318891e+01;4,50526364608782e+01;0;0;0;0;0;0
20101100204;0,00000000000000e+00;0;3,49999999999988e+01;1,16950070228339e+02;0;0;0;0;0;0
20101100205;0,00000000000000e+00;0;0,00000000000000e+00;9,87557700101392e+01;0;0;0;0;0;0
20101100206;0,00000000000000e+00;0;0,00000000000000e+00;1,00748672281686e+02;0;0;0;0;0;0
20101100207;0,00000000000000e+00;0;0,00000000000000e+00;2,01639295331258e+02;0;0;0;0;0;0
20101100208;0,00000000000000e+00;0;0,00000000000000e+00;1,40553217288010e+02;0;0;0;0;0;0
20101100209;0,00000000000000e+00;0;3,16471176034085e+00;3,38233993531082e+01;0;0;0;0;0;0
20101100210;0,00000000000000e+00;0;0,00000000000000e+00;3,89616110225801e+01;0;0;0;0;0;0
20101100211;0,00000000000000e+00;0;0,00000000000000e+00;7,51041824090546e+01;0;0;0;0;0;0
20101100212;0,00000000000000e+00;0;0,00000000000000e+00;4,43613367567373e+02;0;0;0;0;0;0
20101100213;0,00000000000000e+00;0;0,00000000000000e+00;4,40863049410416e+02;0;0;0;0;0;0
20101100214;0,00000000000000e+00;0;0,00000000000000e+00;2,07457149108573e+02;0;0;0;0;0;0
20101100215;0,00000000000000e+00;0;0,00000000000000e+00;2,40676415525664e+02;0;0;0;0;0;0
20101100216;0,00000000000000e+00;0;0,00000000000000e+00;1,49665495153223e+02;0;0;0;0;0;0
20101100217;0,00000000000000e+00;0;3,96827695760616e+01;7,27999345855924e+02;0;0;0;0;0;0
20101100218;0,00000000000000e+00;0;3,01788767986270e+00;5,81826839234998e+02;0;0;0;0;0;0
20101100219;0,00000000000000e+00;0;4,87664232012431e+01;1,01298807847396e+03;0;0;0;0;0;0
20101100220;0,00000000000000e+00;0;4,04541198036403e+01;1,90918778937238e+02;0;0;0;0;0;0
20101100221;0,00000000000000e+00;0;3,02448206208258e+01;4,42174302442432e+02;0;0;0;0;0;0
20101100222;0,00000000000000e+00;0;0,00000000000000e+00;1,89187599526416e+02;0;0;0;0;0;0
20101100223;0,00000000000000e+00;0;0,00000000000000e+00;2,71419363960322e+02;0;0;0;0;0;0
20101100224;0,00000000000000e+00;0;0,00000000000000e+00;4,62466182012934e+02;0;0;0;0;0;0
20101100225;0,00000000000000e+00;0;1,97411417989469e+01;2,10987820162158e+02;0;0;0;0;0;0
20101100226;0,00000000000000e+00;0;2,48968242112681e+01;1,02223040762626e+03;0;0;0;0;0;0
20101100227;0,00000000000000e+00;0;0,00000000000000e+00;3,14102324435548e+02;0;0;0;0;0;0
20101100228;0,00000000000000e+00;0;0,00000000000000e+00;3,39399209714777e+02;0;0;0;0;0;0
20101100229;0,00000000000000e+00;0;0,00000000000000e+00;4,10992709821562e+02;0;0;0;0;0;0
20101100230;0,00000000000000e+00;0;0,00000000000000e+00;1,33452681463491e+02;0;0;0;0;0;0
20101100231;0,00000000000000e+00;0;0,00000000000000e+00;3,09751645719437e+02;0;0;0;0;0;0
20101100232;0,00000000000000e+00;0;0,00000000000000e+00;3,17732279147005e+02;0;0;0;0;0;0
20101100233;0,00000000000000e+00;0;0,00000000000000e+00;5,47375892869299e+02;0;0;0;0;0;0
20101100234;0,00000000000000e+00;0;3,11314145947868e+01;7,42075478329172e+02;0;0;0;0;0;0
20101100301;0,00000000000000e+00;0;0,00000000000000e+00;4,99831572996103e-01;0;0;0;0;0;0
20101100302;0,00000000000000e+00;0;0,00000000000000e+00;2,46113215423537e+02;0;0;0;0;0;0
20101100303;0,00000000000000e+00;0;5,42182220229098e+01;7,01976538542857e+02;0;0;0;0;0;0
20101100304;0,00000000000000e+00;0;0,00000000000000e+00;2,44554527808579e+02;0;0;0;0;0;0
20101100305;0,00000000000000e+00;0;0,00000000000000e+00;3,00812375891600e+02;0;0;0;0;0;0
20101100306;0,00000000000000e+00;0;0,00000000000000e+00;1,14650915743259e+02;0;0;0;0;0;0
20101100307;0,00000000000000e+00;0;3,61129898891031e+00;2,81494815167689e+02;0;0;0;0;0;0
20101100308;0,00000000000000e+00;0;0,00000000000000e+00;1,69112454094785e+02;0;0;0;0;0;0
20101100309;0,00000000000000e+00;0;0,00000000000000e+00;1,04844183512758e+01;0;0;0;0;0;0
20101100310;0,00000000000000e+00;0;0,00000000000000e+00;1,64392551993482e+02;0;0;0;0;0;0
20101100311;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100312;0,00000000000000e+00;0;0,00000000000000e+00;1,92807083717916e-01;0;0;0;0;0;0
20101100313;0,00000000000000e+00;0;0,00000000000000e+00;4,09741183813194e+01;0;0;0;0;0;0
20101100314;0,00000000000000e+00;0;0,00000000000000e+00;8,67839492601045e+01;0;0;0;0;0;0
20101100315;0,00000000000000e+00;0;0,00000000000000e+00;6,54632590635314e+01;0;0;0;0;0;0
20101100316;0,00000000000000e+00;0;0,00000000000000e+00;1,29350697117476e+02;0;0;0;0;0;0
20101100317;0,00000000000000e+00;0;0,00000000000000e+00;1,09869054618360e+02;0;0;0;0;0;0
20101100318;0,00000000000000e+00;0;0,00000000000000e+00;3,43752457444016e+02;0;0;0;0;0;0
20101100319;0,00000000000000e+00;0;4,03982404725203e-01;1,29667418466796e+02;0;0;0;0;0;0
20101100320;0,00000000000000e+00;0;0,00000000000000e+00;2,87716074416624e+02;0;0;0;0;0;0
20101100321;0,00000000000000e+00;0;0,00000000000000e+00;2,23755002116462e+02;0;0;0;0;0;0
20101100322;0,00000000000000e+00;0;2,07516386992201e+01;3,84766041616180e+02;0;0;0;0;0;0
20101100323;0,00000000000000e+00;0;0,00000000000000e+00;1,64876221401422e+02;0;0;0;0;0;0
20101100324;0,00000000000000e+00;0;0,00000000000000e+00;1,35953640690177e+02;0;0;0;0;0;0
20101100325;0,00000000000000e+00;0;0,00000000000000e+00;4,22777876195193e+01;0;0;0;0;0;0
20101100326;0,00000000000000e+00;0;0,00000000000000e+00;2,56647093441718e+01;0;0;0;0;0;0
20101100327;0,00000000000000e+00;0;0,00000000000000e+00;3,51396938746977e+01;0;0;0;0;0;0
20101100328;0,00000000000000e+00;0;0,00000000000000e+00;1,06924851292282e+02;0;0;0;0;0;0
20101100329;0,00000000000000e+00;0;0,00000000000000e+00;4,94008406963344e+01;0;0;0;0;0;0
20101100330;0,00000000000000e+00;0;6,09999999999964e+01;4,81741102500471e+02;0;0;0;0;0;0
20101100331;0,00000000000000e+00;0;1,63644941552076e+01;1,53142640493906e+02;0;0;0;0;0;0
20101100332;0,00000000000000e+00;0;2,34981494776546e+01;3,45459311111619e+02;0;0;0;0;0;0
20101100333;0,00000000000000e+00;0;0,00000000000000e+00;5,14984037274842e+01;0;0;0;0;0;0
20101100334;0,00000000000000e+00;0;0,00000000000000e+00;2,14165605202172e+02;0;0;0;0;0;0
20101100335;0,00000000000000e+00;0;0,00000000000000e+00;3,34556461624524e+02;0;0;0;0;0;0
20101100336;0,00000000000000e+00;0;0,00000000000000e+00;6,49992099484196e+01;0;0;0;0;0;0
20101100337;0,00000000000000e+00;0;0,00000000000000e+00;6,60290296206035e-01;0;0;0;0;0;0
20101100338;0,00000000000000e+00;0;0,00000000000000e+00;1,12599520715115e+02;0;0;0;0;0;0
20101100339;0,00000000000000e+00;0;0,00000000000000e+00;1,96225283604805e+02;0;0;0;0;0;0
20101100340;0,00000000000000e+00;0;0,00000000000000e+00;6,59228491024080e+01;0;0;0;0;0;0
20101100341;0,00000000000000e+00;0;0,00000000000000e+00;1,57443770392800e+02;0;0;0;0;0;0
20101100342;0,00000000000000e+00;0;0,00000000000000e+00;2,47365387128817e+01;0;0;0;0;0;0
20101100343;0,00000000000000e+00;0;0,00000000000000e+00;1,23987516772359e+02;0;0;0;0;0;0
20101100344;0,00000000000000e+00;0;0,00000000000000e+00;1,25241131486404e+02;0;0;0;0;0;0
20101100345;0,00000000000000e+00;0;0,00000000000000e+00;3,96276300909684e+01;0;0;0;0;0;0
20101100346;0,00000000000000e+00;0;0,00000000000000e+00;1,07153877832566e+02;0;0;0;0;0;0
20101100347;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100348;0,00000000000000e+00;0;0,00000000000000e+00;2,92609510591840e+02;0;0;0;0;0;0
20101100349;0,00000000000000e+00;0;0,00000000000000e+00;1,42280184352250e+02;0;0;0;0;0;0
20101100350;0,00000000000000e+00;0;0,00000000000000e+00;2,35173697273529e+02;0;0;0;0;0;0
20101100351;0,00000000000000e+00;0;0,00000000000000e+00;9,12764487146425e+01;0;0;0;0;0;0
20101100401;0,00000000000000e+00;0;0,00000000000000e+00;8,35509374725351e+00;0;0;0;0;0;0
20101100402;0,00000000000000e+00;0;0,00000000000000e+00;1,11034379085340e+02;0;0;0;0;0;0
20101100404;0,00000000000000e+00;0;0,00000000000000e+00;3,21259857325146e+02;0;0;0;0;0;0
20101100405;0,00000000000000e+00;0;0,00000000000000e+00;2,79214491993423e+01;0;0;0;0;0;0
20101100406;0,00000000000000e+00;0;0,00000000000000e+00;1,05573282642841e+02;0;0;0;0;0;0
20101100407;0,00000000000000e+00;0;0,00000000000000e+00;1,88353863463665e+02;0;0;0;0;0;0
20101100408;0,00000000000000e+00;0;0,00000000000000e+00;4,11868608981865e+02;0;0;0;0;0;0
20101100409;0,00000000000000e+00;0;0,00000000000000e+00;2,59384126256729e+02;0;0;0;0;0;0
20101100410;0,00000000000000e+00;0;8,39321497724298e-01;3,76763262386304e+02;0;0;0;0;0;0
20101100411;0,00000000000000e+00;0;0,00000000000000e+00;6,82617314736386e+01;0;0;0;0;0;0
20101100412;0,00000000000000e+00;0;0,00000000000000e+00;6,76358453873709e+01;0;0;0;0;0;0
20101100413;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100414;0,00000000000000e+00;0;0,00000000000000e+00;2,27133202036170e+01;0;0;0;0;0;0
20101100415;0,00000000000000e+00;0;0,00000000000000e+00;4,43889715789310e+01;0;0;0;0;0;0
20101100416;0,00000000000000e+00;0;0,00000000000000e+00;4,50650366648165e+01;0;0;0;0;0;0
20101100417;0,00000000000000e+00;0;0,00000000000000e+00;1,94091504108501e+02;0;0;0;0;0;0
20101100418;0,00000000000000e+00;0;0,00000000000000e+00;1,69703357457825e+02;0;0;0;0;0;0
20101100419;0,00000000000000e+00;0;0,00000000000000e+00;9,62062705299707e+01;0;0;0;0;0;0
20101100420;0,00000000000000e+00;0;0,00000000000000e+00;2,74177167374097e+02;0;0;0;0;0;0
20101100421;0,00000000000000e+00;0;0,00000000000000e+00;1,83540816140562e+02;0;0;0;0;0;0
20101100422;0,00000000000000e+00;0;0,00000000000000e+00;8,34343944573405e+01;0;0;0;0;0;0
20101100423;0,00000000000000e+00;0;0,00000000000000e+00;2,57304981332781e+02;0;0;0;0;0;0
20101100424;0,00000000000000e+00;0;0,00000000000000e+00;1,81525800117421e+02;0;0;0;0;0;0
20101100425;0,00000000000000e+00;0;0,00000000000000e+00;2,62745124118956e+02;0;0;0;0;0;0
20101100426;0,00000000000000e+00;0;0,00000000000000e+00;2,01225628335911e+02;0;0;0;0;0;0
20101100427;0,00000000000000e+00;0;0,00000000000000e+00;1,97580426941373e+02;0;0;0;0;0;0
20101100428;0,00000000000000e+00;0;0,00000000000000e+00;1,80585797720557e+02;0;0;0;0;0;0
20101100429;0,00000000000000e+00;0;0,00000000000000e+00;4,88329912653132e+01;0;0;0;0;0;0
20101100430;0,00000000000000e+00;0;0,00000000000000e+00;1,17250698440157e+02;0;0;0;0;0;0
20101100431;0,00000000000000e+00;0;0,00000000000000e+00;1,42829392320649e+02;0;0;0;0;0;0
20101100432;0,00000000000000e+00;0;0,00000000000000e+00;1,36193237477759e+02;0;0;0;0;0;0
20101100433;0,00000000000000e+00;0;0,00000000000000e+00;1,65738859173266e+02;0;0;0;0;0;0
20101100434;0,00000000000000e+00;0;0,00000000000000e+00;9,27653075510025e+01;0;0;0;0;0;0
20101100435;0,00000000000000e+00;0;0,00000000000000e+00;1,31961891799452e+02;0;0;0;0;0;0
20101100436;0,00000000000000e+00;0;0,00000000000000e+00;8,70398233690757e+01;0;0;0;0;0;0
20101100437;0,00000000000000e+00;0;0,00000000000000e+00;9,50671711003669e+01;0;0;0;0;0;0
20101100438;0,00000000000000e+00;0;0,00000000000000e+00;1,13506987325500e+02;0;0;0;0;0;0
20101100439;0,00000000000000e+00;0;0,00000000000000e+00;1,04983625330824e+01;0;0;0;0;0;0
20101100440;0,00000000000000e+00;0;0,00000000000000e+00;1,89771039301990e+02;0;0;0;0;0;0
20101100441;0,00000000000000e+00;0;0,00000000000000e+00;3,93732010716696e+01;0;0;0;0;0;0
20101100442;0,00000000000000e+00;0;0,00000000000000e+00;8,24362099730157e+01;0;0;0;0;0;0
20101100443;0,00000000000000e+00;0;0,00000000000000e+00;6,52864572439161e+00;0;0;0;0;0;0
20101100444;0,00000000000000e+00;0;0,00000000000000e+00;1,53884622863575e+02;0;0;0;0;0;0
20101100445;0,00000000000000e+00;0;0,00000000000000e+00;1,42421047636798e+02;0;0;0;0;0;0
20101100446;0,00000000000000e+00;0;0,00000000000000e+00;4,93507022312624e+01;0;0;0;0;0;0
20101100447;0,00000000000000e+00;0;0,00000000000000e+00;2,49639935354584e+01;0;0;0;0;0;0
20101100448;0,00000000000000e+00;0;0,00000000000000e+00;2,05971747123121e+02;0;0;0;0;0;0
20101100449;0,00000000000000e+00;0;0,00000000000000e+00;5,55898706668924e+01;0;0;0;0;0;0
20101100451;0,00000000000000e+00;0;0,00000000000000e+00;2,30282760128287e+00;0;0;0;0;0;0
20101100452;0,00000000000000e+00;0;0,00000000000000e+00;3,59791504436654e+01;0;0;0;0;0;0
20101100453;0,00000000000000e+00;0;0,00000000000000e+00;6,67862808576179e+00;0;0;0;0;0;0
20101100454;0,00000000000000e+00;0;0,00000000000000e+00;5,90280353784675e+01;0;0;0;0;0;0
20101100455;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100456;0,00000000000000e+00;0;0,00000000000000e+00;4,41812068270469e+00;0;0;0;0;0;0
20101100501;0,00000000000000e+00;0;0,00000000000000e+00;8,07958184377007e+01;0;0;0;0;0;0
20101100502;0,00000000000000e+00;0;0,00000000000000e+00;8,62429320419441e+01;0;0;0;0;0;0
20101100504;0,00000000000000e+00;0;0,00000000000000e+00;1,49549005521939e+02;0;0;0;0;0;0
20101100505;0,00000000000000e+00;0;0,00000000000000e+00;9,58924394477262e+01;0;0;0;0;0;0
20101100506;0,00000000000000e+00;0;0,00000000000000e+00;3,58578021983068e+01;0;0;0;0;0;0
20101100507;0,00000000000000e+00;0;0,00000000000000e+00;1,31838305870993e+02;0;0;0;0;0;0
20101100508;0,00000000000000e+00;0;0,00000000000000e+00;4,63351067930341e+01;0;0;0;0;0;0
20101100509;0,00000000000000e+00;0;0,00000000000000e+00;7,42250480391745e+01;0;0;0;0;0;0
20101100510;0,00000000000000e+00;0;0,00000000000000e+00;1,21039970474124e+00;0;0;0;0;0;0
20101100511;0,00000000000000e+00;0;0,00000000000000e+00;3,52992459635972e+00;0;0;0;0;0;0
20101100512;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100513;0,00000000000000e+00;0;0,00000000000000e+00;1,80772245654239e+00;0;0;0;0;0;0
20101100514;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100515;0,00000000000000e+00;0;0,00000000000000e+00;5,67386710059131e+01;0;0;0;0;0;0
20101100516;0,00000000000000e+00;0;0,00000000000000e+00;1,54211611038320e+02;0;0;0;0;0;0
20101100517;0,00000000000000e+00;0;0,00000000000000e+00;1,02506392932707e+02;0;0;0;0;0;0
20101100518;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100519;0,00000000000000e+00;0;0,00000000000000e+00;2,72950435216320e+02;0;0;0;0;0;0
20101100601;0,00000000000000e+00;0;0,00000000000000e+00;1,12290247799292e+02;0;0;0;0;0;0
20101100602;0,00000000000000e+00;0;0,00000000000000e+00;9,87628631128417e+01;0;0;0;0;0;0
20101100603;0,00000000000000e+00;0;0,00000000000000e+00;1,41365840520941e+02;0;0;0;0;0;0
20101100604;0,00000000000000e+00;0;0,00000000000000e+00;2,19818372867429e+02;0;0;0;0;0;0
20101100605;0,00000000000000e+00;0;0,00000000000000e+00;1,88228048742460e+01;0;0;0;0;0;0
20101100606;0,00000000000000e+00;0;0,00000000000000e+00;2,48445997682293e+00;0;0;0;0;0;0
20101100607;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100608;0,00000000000000e+00;0;0,00000000000000e+00;1,41324771068241e+00;0;0;0;0;0;0
20101100610;0,00000000000000e+00;0;0,00000000000000e+00;1,71789934465650e+02;0;0;0;0;0;0
20101100611;0,00000000000000e+00;0;0,00000000000000e+00;2,07515898769630e+02;0;0;0;0;0;0
20101100612;0,00000000000000e+00;0;0,00000000000000e+00;1,31854205196027e+02;0;0;0;0;0;0
20101100613;0,00000000000000e+00;0;0,00000000000000e+00;9,50716103579528e+01;0;0;0;0;0;0
20101100614;0,00000000000000e+00;0;0,00000000000000e+00;3,07318243472343e+01;0;0;0;0;0;0
20101100615;0,00000000000000e+00;0;0,00000000000000e+00;1,58613128402240e+02;0;0;0;0;0;0
20101100616;0,00000000000000e+00;0;0,00000000000000e+00;2,92293679238352e+01;0;0;0;0;0;0
20101100617;0,00000000000000e+00;0;0,00000000000000e+00;8,02592271143508e+01;0;0;0;0;0;0
20101100701;0,00000000000000e+00;0;0,00000000000000e+00;4,52247830493058e-02;0;0;0;0;0;0
20101100702;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100703;0,00000000000000e+00;0;0,00000000000000e+00;9,44083613925852e-02;0;0;0;0;0;0
20101100704;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100705;0,00000000000000e+00;0;0,00000000000000e+00;1,42252148225108e-02;0;0;0;0;0;0
20101100706;0,00000000000000e+00;0;0,00000000000000e+00;2,22507005433172e-01;0;0;0;0;0;0
20101100707;0,00000000000000e+00;0;0,00000000000000e+00;1,23793065877473e-02;0;0;0;0;0;0
20101100708;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100709;0,00000000000000e+00;0;0,00000000000000e+00;0,00000000000000e+00;0;0;0;0;0;0
20101100801;0,00000000000000e+00;0;0,00000000000000e+00;2,26960885046302e+02;0;0;0;0;0;0
20101100804;0,00000000000000e+00;0;0,00000000000000e+00;2,10442684848302e+02;0;0;0;0;0;0
20101100805;0,00000000000000e+00;0;0,00000000000000e+00;6,05260327032783e+02;0;0;0;0;0;0
