LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
0,0,0,50.60059936252219,0,0,0,0,0,0
0,0,0,51.002708525702786,0,0,0,0,0,0
0,0,0,15.023943114540037,0,0,0,0,0,0
0,0,0,36.90087952121799,0,0,0,0,0,0
0,0,0,91.20415081551278,0,0,0,0,0,0
0,0,0,26.43238099487182,0,0,0,0,0,0
0,0,0,73.87014144466593,0,0,0,0,0,0
0,0,0,32.305069751017925,0,0,0,0,0,0
0,0,0,28.33435835680318,0,0,0,0,0,0
0,0,0,33.75613815023231,0,0,0,0,0,0
0,0,0,39.990166671460315,0,0,0,0,0,0
0,0,0,44.70587960293608,0,0,0,0,0,0
0,0,0,1.6339279140827052,0,0,0,0,0,0
0,0,0,0.6601621205450247,0,0,0,0,0,0
0,0,0,43.04111001669739,0,0,0,0,0,0
0,0,0,0.03932740188643784,0,0,0,0,0,0
0,0,0,27.431896066900013,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.07304357731415646,14.148993469352277,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,7.261033221659915,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,31.15920581137003,0,0,0,0,0,0
0,0,0,2.672096015153158,0,0,0,0,0,0
0,0,0,2.1029591560724517,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,17.550483579690333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,3.694109722866509,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.5513658416631065,0,0,0,0,0,0
0,0,0,20.707714788995,0,0,0,0,0,0
0,0,0,0.08272717263015611,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4.729881167391677,0,0,0,0,0,0,0
0,0,0.568208639052975,25.07951039789714,0,0,0,0,0,0
0,0,16.410885863169685,19.151553036812697,0,0,0,0,0,0
0,0,16.9999999999996,30.687541108132507,0,0,0,0,0,0
0,0,0,31.696093362073196,0,0,0,0,0,0
0,0,0,26.226188304968556,0,0,0,0,0,0
0,0,0,48.79116181693498,0,0,0,0,0,0
0,0,0,38.452050145884904,0,0,0,0,0,0
0,0,1.5411659208284396,8.24226464287325,0,0,0,0,0,0
0,0,0,12.103110798590336,0,0,0,0,0,0
0,0,0,15.83140701201879,0,0,0,0,0,0
0,0,0,109.05180025981873,0,0,0,0,0,0
0,0,0,136.83307496658645,0,0,0,0,0,0
0,0,0,82.66971674027769,0,0,0,0,0,0
0,0,0,121.07209199033272,0,0,0,0,0,0
0,0,0,52.310208549432105,0,0,0,0,0,0
0,0,18.889645071521354,168.47813534600186,0,0,0,0,0,0
0,0,1.483492757861253,190.29548866100748,0,0,0,0,0,0
