LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
0,0,0,96.65599147922381,0,0,0,0,0,0
0,0,0,95.63493074782669,0,0,0,0,0,0
0,0,0,27.90441301174205,0,0,0,0,0,0
0,0,0,68.58348787828035,0,0,0,0,0,0
0,0,0,171.86095959404787,0,0,0,0,0,0
0,0,0,49.159626764604674,0,0,0,0,0,0
0,0,0,140.57854613207326,0,0,0,0,0,0
0,0,0,64.61013950203585,0,0,0,0,0,0
0,0,0,56.17694058379869,0,0,0,0,0,0
0,0,0,65.54360623918647,0,0,0,0,0,0
0,0,0,76.97638553775106,0,0,0,0,0,0
0,0,0,87.3701508487178,0,0,0,0,0,0
0,0,0,3.0344375547250237,0,0,0,0,0,0
0,0,0,1.3203242410900493,0,0,0,0,0,0
0,0,0,81.59285852651477,0,0,0,0,0,0
0,0,0,0.07303660350338455,0,0,0,0,0,0
0,0,0,51.4468756929574,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.08593362036959583,28.296967259339347,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,13.980104480099618,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,59.4518670319474,0,0,0,0,0,0
0,0,0,5.344192030306316,0,0,0,0,0,0
0,0,0,3.922814273916832,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,35.007624323283586,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,6.895622837701794,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1.102731683326213,0,0,0,0,0,0
0,0,0,40.38105759402691,0,0,0,0,0,0
0,0,0,0.15490009039827562,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,5.564566079284327,0,0,0,0,0,0,0
0,0,0.6684807518270295,49.459579347268274,0,0,0,0,0,0
0,0,19.30692454490551,38.30310607362539,0,0,0,0,0,0
0,0,19.99999999999953,84.83525173552555,0,0,0,0,0,0
0,0,0,48.14488427655499,0,0,0,0,0,0
0,0,0,48.70577828065589,0,0,0,0,0,0
0,0,0,90.24462000706097,0,0,0,0,0,0
0,0,0,72.18462791544889,0,0,0,0,0,0
0,0,1.8131363774452232,24.83637833507157,0,0,0,0,0,0
0,0,0,20.778768206355497,0,0,0,0,0,0
0,0,0,29.024246188701117,0,0,0,0,0,0
0,0,0,244.46417424811168,0,0,0,0,0,0
0,0,0,219.2570912652696,0,0,0,0,0,0
0,0,0,116.20011019857765,0,0,0,0,0,0
0,0,0,204.34708010817613,0,0,0,0,0,0
0,0,0,126.14614249481032,0,0,0,0,0,0
0,0,21.49511335724844,408.6195567125889,0,0,0,0,0,0
0,0,1.6881124486007362,358.29786068692636,0,0,0,0,0,0
0,0,26.434477315307056,582.4689901830427,0,0,0,0,0,0
0,0,21.84983852714987,123.69695337791732,0,0,0,0,0,0
0,0,16.344287457081077,249.27111651874546,0,0,0,0,0,0
0,0,0,121.82687906052443,0,0,0,0,0,0
0,0,0,191.5546406534446,0,0,0,0,0,0
0,0,0,301.8741714524079,0,0,0,0,0,0
0,0,11.277053225515811,156.1120915323306,0,0,0,0,0,0
0,0,13.545862154917446,572.7533828526916,0,0,0,0,0,0
0,0,0,212.53049028858257,0,0,0,0,0,0
0,0,0,239.3322682793438,0,0,0,0,0,0
0,0,0,259.3334822233349,0,0,0,0,0,0
0,0,0,93.78895858655434,0,0,0,0,0,0
0,0,0,225.97579738379494,0,0,0,0,0,0
0,0,0,162.0066758388272,0,0,0,0,0,0
0,0,0,282.5205424711393,0,0,0,0,0,0
0,0,16.894638985684452,460.39164724170655,0,0,0,0,0,0
0,0,0,57.05271965194035,0,0,0,0,0,0
0,0,0,61.13677551955724,0,0,0,0,0,0
0,0,0,106.99315953297692,0,0,0,0,0,0
0,0,0,41.94674091378005,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,93.3783160970976,0,0,0,0,0,0
0,0,0,34.74590162685726,0,0,0,0,0,0
0,0,0,36.76524012893192,0,0,0,0,0,0
0,0,0,0.8130261856288967,0,0,0,0,0,0
0,0,0,2.4942134544142327,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1.301161682083979,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,41.20023063824287,0,0,0,0,0,0
0,0,0,24.160084364073978,0,0,0,0,0,0
0,0,0,73.48057788684216,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,191.1737471911558,0,0,0,0,0,0
0,0,0,88.10592981519193,0,0,0,0,0,0
0,0,0,39.59009309014147,0,0,0,0,0,0
0,0,0,79.24144950579715,0,0,0,0,0,0
0,0,0,86.62275862386494,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,77.5270425853235,0,0,0,0,0,0
0,0,0,87.0722213359328,0,0,0,0,0,0
0,0,0,65.56635976981309,0,0,0,0,0,0
0,0,0,37.24495590349696,0,0,0,0,0,0
0,0,0,17.357766861761846,0,0,0,0,0,0
0,0,0,85.47051886485,0,0,0,0,0,0
0,0,0,11.596562977195598,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1.7512651434590012,0,0,0,0,0,0
0,0,0,0.5663340997692442,0,0,0,0,0,0
0,0,0,9.310714418034616,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,31.90471525767952,0,0,0,0,0,0
0,0,0,6.980632416625424,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,52.11703512473352,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,35.73313540331143,0,0,0,0,0,0
0,0,0,62.58469131967908,0,0,0,0,0,0
0,0,0,0.9744877963871351,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,170.14421645668455,0,0,0,0,0,0
0,0,0,156.92146149896834,0,0,0,0,0,0
0,0,0,384.62124859250525,0,0,0,0,0,0
0,0,0,98.07297640362499,0,0,0,0,0,0
0,0,0,280.1596176748632,0,0,0,0,0,0
0,0,0,83.86681961285775,0,0,0,0,0,0
0,0,0,237.79750731524737,0,0,0,0,0,0
0,0,0,45.19015057106759,0,0,0,0,0,0
0,0,0,76.52476741973227,0,0,0,0,0,0
0,0,0,89.28570791334563,0,0,0,0,0,0
0,0,0,152.2762183206924,0,0,0,0,0,0
0,0,6.418154274388609,90.3058457071356,0,0,0,0,0,0
0,0,7.610636058021395,376.578734296511,0,0,0,0,0,0
0,0,0,12.477950724372977,0,0,0,0,0,0
0,0,0,30.270185419395755,0,0,0,0,0,0
0,0,0,59.42759237494108,0,0,0,0,0,0
0,0,0,87.00800204354647,0,0,0,0,0,0
0,0,0,296.53875995538687,0,0,0,0,0,0
0,0,0,31.077511630680895,0,0,0,0,0,0
0,0,15.117702733564231,309.81939601674196,0,0,0,0,0,0
0,0,3.93638317888847,88.14870346567764,0,0,0,0,0,0
0,0,0,262.7457407723049,0,0,0,0,0,0
0,0,0,106.37000921566685,0,0,0,0,0,0
0,0,0,164.06373951400093,0,0,0,0,0,0
0,0,0,143.49127941855548,0,0,0,0,0,0
0,0,0,103.31283276631547,0,0,0,0,0,0
0,0,0,45.16668764526715,0,0,0,0,0,0
0,0,0,287.21366278559793,0,0,0,0,0,0
0,0,0,119.71190869959955,0,0,0,0,0,0
0,0,0,130.36349804142577,0,0,0,0,0,0
0,0,0,31.915656534114632,0,0,0,0,0,0
0,0,0,36.6572141710282,0,0,0,0,0,0
0,0,0,8.131804383090948,0,0,0,0,0,0
0,0,0,0.8528283800557681,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,5.056270541473099,0,0,0,0,0,0
0,0,0,18.945171223013276,0,0,0,0,0,0
0,0,0,0.029860401986743848,0,0,0,0,0,0
0,0,0,9.15254064333076,0,0,0,0,0,0
0,0,0,33.35222544747132,0,0,0,0,0,0
0,0,0,2.0792371466313657,0,0,0,0,0,0
0,0,0,60.624249641594126,0,0,0,0,0,0
0,0,0,94.32069031402116,0,0,0,0,0,0
0,0,0,112.91230148616485,0,0,0,0,0,0
0,0,0,79.44677405953588,0,0,0,0,0,0
0,0,0,58.89289499524378,0,0,0,0,0,0
0,0,0,48.50193075713396,0,0,0,0,0,0
0,0,0,108.8726984127131,0,0,0,0,0,0
0,0,1.9509678025825472,119.93773826313685,0,0,0,0,0,0
0,0,0,94.00537931616185,0,0,0,0,0,0
0,0,0,45.94478974285548,0,0,0,0,0,0
0,0,0,49.49577090400661,0,0,0,0,0,0
0,0,0,6.292469609655757,0,0,0,0,0,0
0,0,0,97.92566568768945,0,0,0,0,0,0
0,0,0,97.91563876252397,0,0,0,0,0,0
0,0,0,43.92253572410855,0,0,0,0,0,0
0,0,29.29538273525865,433.8019456663362,0,0,0,0,0,0
0,0,0,95.95166646554178,0,0,0,0,0,0
0,0,0,0.27109698476070726,0,0,0,0,0,0
0,0,0,56.63173669159935,0,0,0,0,0,0
0,0,0,20.672584422957488,0,0,0,0,0,0
0,0,0,112.76115128854208,0,0,0,0,0,0
0,0,0,131.24778532239782,0,0,0,0,0,0
0,0,0,170.6929851078158,0,0,0,0,0,0
0,0,0,13.267309640340681,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,41.60202067986296,0,0,0,0,0,0
0,0,0,93.28076151192953,0,0,0,0,0,0
0,0,0,90.70839149234698,0,0,0,0,0,0
0,0,0,44.98614307764586,0,0,0,0,0,0
0,0,0,10.113487617874545,0,0,0,0,0,0
0,0,11.156365469902944,255.95976348050058,0,0,0,0,0,0
0,0,33.000000000000774,302.6482830517088,0,0,0,0,0,0
0,0,0,46.52196271522952,0,0,0,0,0,0
0,0,0.21447604350260702,56.49092589826882,0,0,0,0,0,0
0,0,0,117.33906217187169,0,0,0,0,0,0
0,0,0,234.4169192123779,0,0,0,0,0,0
0,0,8.780583693755409,110.4373131250856,0,0,0,0,0,0
0,0,0,0.46740930628983945,0,0,0,0,0,0
0,0,0,6.700317492216942,0,0,0,0,0,0
0,0,0,28.278229582800414,0,0,0,0,0,0
