sa1_code_2016,LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
20101100101,0,0,0,167.82318435742826,0,0,0,0,0,0
20101100102,0,0,0,187.02915012096003,0,0,0,0,0,0
20101100105,0,0,0,57.58238435734434,0,0,0,0,0,0
20101100106,0,0,0,141.09802439262816,0,0,0,0,0,0
20101100107,0,0,0,326.8850234746587,0,0,0,0,0,0
20101100108,0,0,0,100.8033598828824,0,0,0,0,0,0
20101100109,0,0,0,252.38781069064325,0,0,0,0,0,0
20101100110,0,0,0,75.62188528901946,0,0,0,0,0,0
20101100111,0,0,0,71.55210701515347,0,0,0,0,0,0
20101100112,0,0,0,100.08876874497759,0,0,0,0,0,0
20101100113,0,0,0,125.47082470193486,0,0,0,0,0,0
20101100114,0,0,0,128.06739682644084,0,0,0,0,0,0
20101100115,0,0,0,0.6179292024692009,0,0,0,0,0,0
20101100117,0,0,0.0930134502148341,39.4804000169485,0,0,0,0,0,0
20101100118,0,0,0,0.005461806092651995,0,0,0,0,0,0
20101100119,0,0,0,1.5570814238549289,0,0,0,0,0,0
20101100120,0,0,0,148.1913723333984,0,0,0,0,0,0
20101100121,0,0,0,0.1154879990222171,0,0,0,0,0,0
20101100122,0,0,0,0.7079367689727671,0,0,0,0,0,0
20101100123,0,0,0,8.892273634216513,0,0,0,0,0,0
20101100124,0,0,0,82.8100682276122,0,0,0,0,0,0
20101100201,0,0,7.438993624101242,0,0,0,0,0,0,0
20101100202,0,0,0.8648378464269318,67.73619582394778,0,0,0,0,0,0
20101100203,0,0,26.02039713317156,46.13845987497352,0,0,0,0,0,0
20101100204,0,0,26.999999999999048,113.94892251494531,0,0,0,0,0,0
20101100205,0,0,0,98.7557700101392,0,0,0,0,0,0
20101100206,0,0,0,100.74867228168569,0,0,0,0,0,0
20101100207,0,0,0,201.6392953312581,0,0,0,0,0,0
20101100208,0,0,0,140.86405812833831,0,0,0,0,0,0
20101100209,0,0,2.4413490722629447,33.770677682372934,0,0,0,0,0,0
20101100210,0,0,0,38.926355698562304,0,0,0,0,0,0
20101100211,0,0,0,75.10418240905456,0,0,0,0,0,0
20101100212,0,0,0,445.23791179320324,0,0,0,0,0,0
20101100213,0,0,0,441.4234028033598,0,0,0,0,0,0
20101100214,0,0,0,207.45714910857265,0,0,0,0,0,0
20101100215,0,0,0,240.6764155256637,0,0,0,0,0,0
20101100216,0,0,0,149.66549515322333,0,0,0,0,0,0
20101100217,0,0,29.274174277422457,680.0873702923543,0,0,0,0,0,0
20101100218,0,0,2.2263105835052737,566.0507708657186,0,0,0,0,0,0
20101100219,0,0,35.97523023042526,938.0858834863602,0,0,0,0,0,0
20101100220,0,0,29.843203133832997,194.64455344405056,0,0,0,0,0,0
20101100221,0,0,22.311752917002647,420.5650693966071,0,0,0,0,0,0
20101100222,0,0,0,189.5579975165037,0,0,0,0,0,0
20101100223,0,0,0,274.3878862212744,0,0,0,0,0,0
20101100224,0,0,0,471.03851100211017,0,0,0,0,0,0
20101100225,0,0,15.22888081633047,208.7634792591634,0,0,0,0,0,0
20101100226,0,0,18.366509664050238,951.7341501543622,0,0,0,0,0,0
20101100227,0,0,0,319.54275317225733,0,0,0,0,0,0
20101100228,0,0,0,337.4981413511911,0,0,0,0,0,0
20101100229,0,0,0,413.32568512554906,0,0,0,0,0,0
20101100230,0,0,0,133.45268146349122,0,0,0,0,0,0
20101100231,0,0,0,309.7516457194368,0,0,0,0,0,0
20101100232,0,0,0,317.7322791470047,0,0,0,0,0,0
20101100233,0,0,0,549.0453896266155,0,0,0,0,0,0
20101100234,0,0,22.965797651891886,738.7803262695576,0,0,0,0,0,0
