sa1_code_2016;Total
20101100101;7,01243929881519e+01
20101100102;5,43739546396010e+01
20101100105;1,04636497680806e+01
20101100106;6,78352622678493e+01
20101100107;1,42960309270973e+02
20101100108;3,46608711318669e+01
20101100109;1,16442002401264e+02
20101100110;7,44744407391801e+01
20101100111;5,87681284945589e+01
20101100112;6,73524684261265e+01
20101100113;6,25775442023730e+01
20101100114;8,37155602964783e+01
20101100115;6,17929202469201e-01
20101100117;3,05843944148824e+01
20101100118;2,22217044079179e+01
20101100119;1,36641420469648e+00
20101100120;4,15006548261845e+01
20101100121;3,31736604877725e+01
20101100122;4,34704057719060e-01
20101100123;6,02735601684993e+00
20101100124;4,42880420660273e+01
20101100201;3,74750555654877e+01
20101100202;8,27057470523289e+01
20101100203;1,55388391848301e+02
20101100204;1,38474936566260e+02
20101100205;1,17653482758915e+02
20101100206;1,94601629721998e+02
20101100207;2,53464142283191e+02
20101100208;1,81161498592015e+02
20101100209;3,67132858885943e+01
20101100210;4,39581719427218e+01
20101100211;1,37209187187562e+02
20101100212;4,41328582102142e+02
20101100213;5,07064054449395e+02
20101100214;2,67462064691344e+02
20101100215;2,66781349738012e+02
20101100216;1,98166529642615e+01
20101100217;7,88931043040626e+02
20101100218;6,79582569274422e+02
20101100219;8,57522479076170e+02
20101100220;1,87168104548059e+02
20101100221;4,05341830547162e+02
20101100222;1,69214659787788e+02
20101100223;2,00217476670438e+02
20101100224;2,69040846537834e+02
20101100225;1,56384291092036e+02
20101100226;1,03635433269190e+03
20101100227;1,99531364758467e+02
20101100228;2,58365163340738e+02
20101100229;2,26230141420077e+02
20101100230;1,46661696785000e+02
20101100231;3,76885756231123e+02
20101100232;3,98808067612439e+02
20101100233;5,69856600623438e+02
20101100234;1,10939011218018e+03
20101100301;6,83732138171424e-02
20101100302;1,14702756572583e+02
20101100303;5,25182886805473e+02
20101100304;6,45203710598966e+01
20101100305;9,28926210846342e+01
20101100306;6,35246590449105e+01
20101100307;1,60577601379271e+02
20101100308;2,61053493791153e+02
20101100309;2,00791811012866e+01
20101100310;7,14660093159660e+01
20101100311;0,00000000000000e+00
20101100312;1,92807083717916e-01
20101100313;3,75536711609406e+01
20101100314;1,02900142839704e+02
20101100315;6,23821912648754e+01
20101100316;1,43528591334074e+02
20101100317;8,93377592737257e+01
20101100318;2,12298782198122e+02
20101100319;5,88898579898748e+01
20101100320;1,36930138834493e+02
20101100321;2,17132787171477e+02
20101100322;2,24933971154710e+02
20101100323;7,07827612065115e+01
20101100324;6,56370516788183e+01
20101100325;5,34909761803113e+01
20101100326;1,53889443682155e+01
20101100327;3,15045531290393e+01
20101100328;6,09811446621242e+01
20101100329;6,18003608600673e+01
20101100330;5,31069258026100e+02
20101100331;2,54616849261588e+02
20101100332;3,01432030021197e+02
20101100333;3,47331032419154e+01
20101100334;2,14767278733146e+02
20101100335;3,04160920641692e+02
20101100336;6,25579570787297e+01
20101100337;6,56406079604020e-01
20101100338;6,79225836445501e+01
20101100339;1,66540033759680e+02
20101100340;5,78193409503561e+01
20101100341;1,07049298131291e+02
20101100342;1,55919413728392e-02
20101100343;6,65994062088243e+01
20101100344;3,40355353915837e+01
20101100345;3,95586824592167e+01
20101100346;3,36671419975362e+01
20101100347;0,00000000000000e+00
20101100348;1,46229854029070e+02
20101100349;1,86605994406777e+02
20101100350;1,19462486353238e+02
20101100351;1,13256138619028e+02
20101100401;5,21009388538949e+01
20101100402;8,02214659427045e+01
20101100404;2,00370736345048e+02
20101100405;4,72516832604254e+01
20101100406;5,75384270854070e+01
20101100407;2,09812579794689e+02
20101100408;2,75685165310922e+02
20101100409;3,31512585157335e+02
20101100410;2,67081783757860e+02
20101100411;8,29342074597133e+01
20101100412;1,02915162228296e+02
20101100413;0,00000000000000e+00
20101100414;1,90885204223773e+01
20101100415;4,85865405504060e+01
20101100416;3,29435166440952e+01
20101100417;8,12203994205255e+01
